name,latitude,longitude
Tamanrasset -  Aguenar  -  Hadj Bey Akhamok Airport (Algeria) (TMR),0.398135792,0.095139291
Aguni -  Aguni Airport (Japan) (AGJ),0.464126693,2.220774346
Ahe -  Ahe Airport (French Polynesia) (AHE),-0.251817843,-2.55266627
Ahmed Al Jaber AB -  Ahmed Al Jaber Air Base (Kuwait) (XIJ),0.505007514,0.834126022
Ahuas -  Ahuas Airport (Honduras) (AHS),0.270040833,-1.472223674
Ahwaz -  Ahwaz Airport (Iran) (AWZ),0.546940817,0.851057468
Aiken -  Aiken Regional Airport (United States) (AIK),0.587292804,-1.425672165
Setif -  Ain Arnat Airport (Algeria) (QSF),0.631426972,0.092929883
Ouargla -  Ain el Beida Airport (Algeria) (OGX),0.55706023,0.094470829
Ain Oussera -  Ain Oussera Airport (Algeria),0.620035168,0.050242968
Aioun El Atrouss -  Aioun el Atrouss Airport (Mauritania) (AEO),0.291667206,-0.168212745
Orlando -  Air Orlando Heliport (United States),0.49629485,-1.421973825
Aire-sur-l'adour -  Aire-sur-l'Adour Airport (France),0.762872947,-0.004280909
Bamberg -  Airport Bamberg-Breitenau (Germany),0.871275396,0.190489301
Aitutaki -  Aitutaki Airport (Cook Islands) (AIT),-0.328661209,-2.788407959
Aix-les-milles -  Aix-en-Provence (BA 114) Airport (France),0.759315963,0.093685435
Ajaccio -  Ajaccio-Napoleon Bonaparte Airport (France) (AJA),0.731704841,0.153639944
Taldykorgan -  Ak Bashat Airport (Kazakhstan),0.748564386,1.284597306
Phoenix -  Ak-Chin Regional Airport (United States),0.575798188,-1.953346808
Enugu -  Akanu Ibiam International Airport (Nigeria) (ENU),0.112997326,0.131981104
Akeno -  Akeno Airport (Japan),0.60271976,2.385376345
Akhiok -  Akhiok Airport (United States) (AKK),0.993767815,-2.691000978
Akhisar -  Akhisar Airport (Turkey),0.677343065,0.485793207
Akiak -  Akiak Airport (United States) (AKI),1.062956141,-2.814011855
Akita -  Akita Airport (Japan) (AXT),0.691422665,2.447283121
Ankara -  Akinci Air Base (Turkey),0.699508755,0.568376966
Aklavik -  Aklavik/Freddie Carmichael Airport (Canada) (LAK),1.190721159,-2.356299035
Akola -  Akola Airport (India) (AKD),0.361265684,1.344926304
Akron -  Akron Canton Regional Airport (United States) (CAK),0.714120654,-1.421434535
Akron -  Akron Fulton International Airport (United States) (AKC),0.716239465,-1.421865701
Aksu -  Aksu Airport (China) (AKU),0.7201665,1.401354562
Aktau -  Aktau Airport (Kazakhstan) (SCO),0.765503155,0.891723604
Preveza -  Aktion National Airport (Greece) (PVK),0.67937812,0.362422868
Aktyubinsk -  Aktobe Airport (Kazakhstan) (AKX),0.876954645,0.998445252
Akulivik -  Akulivik Airport (Canada) (AKV),1.061484811,-1.363950336
Akure -  Akure Airport (Nigeria) (AKR),0.126479471,0.09252008
Akureyri -  Akureyri Airport (Iceland) (AEY),1.145983251,-0.315428128
Akutan -  Akutan Seaplane Base (United States) (KQA),0.944812531,-2.893387559
Uyo -  Akwa Ibom International Airport (Nigeria) (QUO),0.085041168,0.141249496
Al-ahsa -  Al Ahsa Airport (Saudi Arabia) (HOF),0.441311725,0.863679653
Al Ain -  Al Ain International Airport (United Arab Emirates) (AAN),0.423446542,0.970563626
Al Asad -  Al Asad Air Base (Iraq) (IQA),0.589669938,0.740738683
Al Badie -  Al Badie Airport (Yemen),0.326713407,0.887271266
El-baha -  Al Baha Airport (Saudi Arabia) (ABT),0.354233781,0.726655621
Abu Dhabi -  Al Dhafra Air Base (United Arab Emirates) (DHF),0.423210918,0.952036946
Al Ghaidah Intl -  Al Ghaidah International Airport (Yemen) (AAY),0.282598476,0.910625524
Al Hamra -  Al Hamra Aux Airport (United Arab Emirates),0.420170554,0.91566256
Dubai -  Al Maktoum International Airport (United Arab Emirates) (DWC),0.434523384,0.962747858
Agadir -  Al Massira Airport (Morocco) (AGA),0.529271109,-0.164289059
Minhad AB -  Al Minhad Air Base (United Arab Emirates) (NHD),0.436800064,0.966322475
Najaf -  Al Najaf International Airport (Iraq) (NJF),0.558328262,0.775001534
Hafr Al-batin -  Al Qaisumah/Hafr Al Batin Airport (Saudi Arabia) (AQI),0.494542517,0.805034845
Tikrit -  Al Sahra Army Air Field (Iraq),0.60516148,0.759968703
Taji -  Al Taji Army Air Field (Iraq),0.585102417,0.772425107
Al Taqaddum -  Al Taqaddum Air Base (Iraq) (TQD),0.581859619,0.760912927
Doha -  Al Udeid Air Base (Qatar) (XJD),0.438379585,0.895615682
Wejh -  Al Wajh Domestic Airport (Saudi Arabia) (EJH),0.457251843,0.636633253
Al-Jawf -  Al-Jawf Domestic Airport (Saudi Arabia) (AJF),0.519848079,0.699877003
Alakanuk -  Alakanuk Airport (United States) (AUK),1.093973113,-2.873857879
Alapadu -  Alalapadu Airstrip (Suriname),0.044043384,-0.983051465
Lahore -  Alama Iqbal International Airport (Pakistan) (LHE),0.550155718,1.298587841
Alameda -  Alameda Naval Air Station (United States) (NGZ),0.659540699,-2.134886736
Alamogordo -  Alamogordo White Sands Regional Airport (United States) (ALM),0.573164398,-1.84989188
Bole -  Alashankou Bole (Bortala) airport (China) (BPL),0.783565568,1.436405974
Albacete -  Albacete-Los Llanos Airport (Spain) (ABC),0.679779591,-0.03252456
Albany -  Albany Airport (Australia) (ALH),-0.609875608,2.056154905
Albany -  Albany International Airport (United States) (ALB),0.746098561,-1.288082602
Jacksonville NC -  Albert J Ellis Airport (United States) (OAJ),0.607884229,-1.354586662
St. Petersburg -  Albert Whitted Airport (United States) (SPG),0.484592412,-1.442113184
Albert -  Albert-Bray Airport (France) (BYF),0.872167214,0.047083049
Macapa -  Alberto Alcolumbre Airport (Brazil) (MCP),0.000884254,-0.89137806
Merida -  Alberto Carnevalli Airport (Venezuela) (MRD),0.149785518,-1.241994465
Trinidad -  Alberto Delgado Airport (Cuba) (TND),0.380277566,-1.396214533
Albi -  Albi-Le Sequestre Airport (France) (LBI),0.766442116,0.036879854
Albina -  Albina Airport (Suriname) (ABN),0.096215117,-0.943352178
Albuquerque -  Albuquerque International Sunport (United States) (ABQ),0.611566843,-1.86067808
Albury -  Albury Airport (Australia) (ABX),-0.62950184,2.564900833
Murcia -  Alcantarilla Air Base (Spain),0.662371632,-0.021473135
Acandi -  Alcides Fernandez Airport (Colombia) (ACD),0.148643933,-1.349139512
Aldan -  Aldan Airport (Russia) (ADH),1.022811784,2.188799902
Alderney -  Alderney Airport (Guernsey) (ACI),0.867535173,-0.038654156
Cuzco -  Alejandro Velasco Astete International Airport (Peru) (CUZ),-0.236242529,-1.255568868
Aleknagik -  Aleknagik / New Airport (United States) (WKK),1.034676566,-2.768406287
Aleppo -  Aleppo International Airport (Syria) (ALP),0.631472313,0.649688335
Alert -  Alert Airport (Canada) (YLT),1.440207291,-1.087001556
Alert Bay -  Alert Bay Airport (Canada) (YAL),0.882825917,-2.21510208
Ales -  Ales-Deaux Airport (France),0.76916133,0.072293632
Alessandria -  Alessandria Airport (Italy),0.784092675,0.150536917
Alesund -  Alesund Airport (Norway) (AES),1.091921613,0.106808913
Alexander Bay -  Alexander Bay Airport (South Africa) (ALJ),-0.498727851,0.288560521
Wisconsin Rapids -  Alexander Field South Wood County Airport (United States) (ISW),0.77423326,-1.567986292
Kavala -  Alexander the Great International Airport (Greece) (KVA),0.714071785,0.429686095
Alexandra -  Alexandra Airport (New Zealand) (ALR),-0.789093033,2.956116533
Alexandria -  Alexandria Airport (Greece),0.709495542,0.392501875
Alexandria -  Alexandria International Airport (United States) (AEX),0.54676628,-1.615298681
Andoas -  Alferez FAP Alfredo Vladimir Sara Bauer Airport (Peru) (AOP),-0.048801674,-1.334593912
Huanuco -  Alferez Fap David Figueroa Fernandini Airport (Peru) (HUU),-0.172417759,-1.330024726
Cali -  Alfonso Bonilla Aragon International Airport (Colombia) (CLO),0.061840855,-1.333110408
Valledupar -  Alfonso Lopez Pumarejo Airport (Colombia) (VUP),0.182125107,-1.27844495
Leticia -  Alfredo Vasquez Cobo International Airport (Colombia) (LET),-0.073191255,-1.220739129
Algeciras -  Algeciras Heliport (Spain) (AEI),0.630567911,-0.094965424
Alghero -  Alghero-Fertilia Airport (Italy) (AHO),0.70916391,0.144701234
Nasiriyah -  Ali Air Base (Iraq),0.539931576,0.804423986
Kuwait -  Ali Al Salem Air Base (Kuwait),0.512196551,0.82939445
Alicante -  Alicante International Airport (Spain) (ALC),0.668150432,-0.00974166
Alice -  Alice International Airport (United States) (ALI),0.484170043,-1.710892182
Alice Springs -  Alice Springs Airport (Australia) (ASP),-0.415505295,2.337030649
Aliwal North -  Aliwal North Airport (South Africa),-0.53546702,0.466526501
Alkantpan -  Alkantpan Copper Airport (South Africa),-0.521965159,0.389499893
Surallah -  Allah Valley Airport (Philippines) (AAV),0.111121969,2.177315686
