id,scope,level1,level2,level3,level4,level5,unitOfMeasurement,greenHouseGas,greenHouseGasEmissionFactor,yearOfData,yearOfRelease,reference,referenceFile,notes
44,Scope 1,Fuels,Liquid fuels,Burning oil,,,kWh (Gross CV),kg CO2e,0.24677,2024,2024,"DESNZ, UK, 2024",13,
45,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,,tonnes,kg CO2e,3014.09462,2024,2024,"DESNZ, UK, 2024",13,
46,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,,litres,kg CO2e,2.51279,2024,2024,"DESNZ, UK, 2024",13,
47,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,,kWh (Net CV),kg CO2e,0.25403,2024,2024,"DESNZ, UK, 2024",13,
48,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,,kWh (Gross CV),kg CO2e,0.23902,2024,2024,"DESNZ, UK, 2024",13,
49,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,,tonnes,kg CO2e,3203.91143,2024,2024,"DESNZ, UK, 2024",13,
50,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,,litres,kg CO2e,2.66155,2024,2024,"DESNZ, UK, 2024",13,
51,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,,kWh (Net CV),kg CO2e,0.26808,2024,2024,"DESNZ, UK, 2024",13,
52,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,,kWh (Gross CV),kg CO2e,0.25197,2024,2024,"DESNZ, UK, 2024",13,
53,Scope 1,Fuels,Liquid fuels,Fuel oil,,,tonnes,kg CO2e,3228.89019,2024,2024,"DESNZ, UK, 2024",13,
54,Scope 1,Fuels,Liquid fuels,Fuel oil,,,litres,kg CO2e,3.17493,2024,2024,"DESNZ, UK, 2024",13,
55,Scope 1,Fuels,Liquid fuels,Fuel oil,,,kWh (Net CV),kg CO2e,0.28523,2024,2024,"DESNZ, UK, 2024",13,
56,Scope 1,Fuels,Liquid fuels,Fuel oil,,,kWh (Gross CV),kg CO2e,0.26814,2024,2024,"DESNZ, UK, 2024",13,
